Year,"Residential, Non-Residential",Value
1990,,64746.17602
1991,,62713.13433
1992,,63272.19404
1993,,62199.03509
1994,,62779.74459
1995,,62464.10018
1996,,64178.80708
1997,,65862.29617
1998,,65704.4068
1999,,66711.395
2000,,69442.15761
2001,,69743.63613
2002,,67711.41408
2003,,68515.73422
2004,,69214.89469
2005,,69993.61007
2006,,70939.03277
2007,,71264.11872
2008,,72094.82404
2009,,69965.43464
2010,,68272.30209
2011,,68209.2133
2012,,69274.86658
2013,,68366.42789
2014,,69946.07105
2015,,69690.51091
2016,,68779.25003
2017,,68800.94671
2018,,67856.28125
1990,Residential,16960.72006
1991,Residential,16310.88407
1992,Residential,16377.79499
1993,Residential,15759.08304
1994,Residential,16065.5834
1995,Residential,16823.63593
1996,Residential,16322.05687
1997,Residential,17578.67224
1998,Residential,17234.64818
1999,Residential,17665.18361
2000,Residential,18891.73387
2001,Residential,18212.69867
2002,Residential,17917.92881
2003,Residential,19056.85228
2004,Residential,19507.88669
2005,Residential,19711.89407
2006,Residential,20378.138
2007,Residential,20537.01783
2008,Residential,21118.10089
2009,Residential,20594.68006
2010,Residential,19726.42373
2011,Residential,20069.35877
2012,Residential,21082.23629
2013,Residential,20620.15513
2014,Residential,20752.65642
2015,Residential,19998.14919
2016,Residential,20019.33349
2017,Residential,20711.25885
2018,Residential,20589.17311
1990,Non-Residential,47785.45597
1991,Non-Residential,46402.25026
1992,Non-Residential,46894.39905
1993,Non-Residential,46439.95205
1994,Non-Residential,46714.1612
1995,Non-Residential,45640.46425
1996,Non-Residential,47856.75021
1997,Non-Residential,48283.62392
1998,Non-Residential,48469.75862
1999,Non-Residential,49046.21139
2000,Non-Residential,50550.42374
2001,Non-Residential,51530.93746
2002,Non-Residential,49793.48527
2003,Non-Residential,49458.88193
2004,Non-Residential,49707.008
2005,Non-Residential,50281.71599
2006,Non-Residential,50560.89477
2007,Non-Residential,50727.1009
2008,Non-Residential,50976.72315
2009,Non-Residential,49370.75458
2010,Non-Residential,48545.87837
2011,Non-Residential,48139.85453
2012,Non-Residential,48192.63029
2013,Non-Residential,47746.27276
2014,Non-Residential,49193.41462
2015,Non-Residential,49692.36172
2016,Non-Residential,48759.91654
2017,Non-Residential,48089.68786
2018,Non-Residential,47267.10814
